,video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total
0,--JinobXWPk,DANGEROUS Jungle Spider!,Brave Wilderness,15,test_tag,1319945,38949,533,6768
1,-1fzGnFwz9M,9 Things You Need To Know About Kittens - Simon's Cat | 101,Simon's Cat,15,test_tag,189414,7070,112,288
2,-3AGlBYyLjo,Best Tom Petty Interview Ever,CrazyLaughAction,24,test_tag,2143,16,2,4
3,-3lMEZ6k5NA,170912 BTS singing 'Closer' with The Chainsmokers,Kpop Plus01,10,test_tag,201901,10034,148,591
4,-5sCWsLlTCI,SNL Host Kumail Nanjiani and P!nk Share Favorite Colors,Saturday Night Live,24,test_tag,85052,1458,97,132
5,-6Zc8Co2H3w,Honest Trailers - Star Trek: The Next Generation,Screen Junkies,1,test_tag,7139354,187351,4788,27070
6,-AJyaVduxCc,Why Is Ayesha Curry Sending Pics of Her Feet to Steph Curry?,The Real Daytime,24,test_tag,974703,5107,178,675
7,-B9z3az6Axc,Halloween ASMR: Spooky Sounds (feat. Mamrie Hart),Tyler Oakley,24,test_tag,886656,74012,1778,12028
8,-C-LJUD2LWU,We Keep Voting Democrat!  Candace Owens Tells Watters What EVERY Black American Needs to Hear,The Liberty Hound,25,test_tag,90445,4673,80,1007
9,-CEuQhqNzz4,Goran Dragic & Luka Doncic after winning Eurobasket Gold Medal,adamisTV,17,test_tag,342188,1184,77,796
10,-DGXHMOhXAw,Rotary Jails and Accidental Amputations,Tom Scott,27,test_tag,1383980,48005,340,2333
11,-Denciie5oA,12 STRONG - Official Trailer,Warner Bros. Pictures,24,test_tag,5828472,42173,3473,5929
12,-Egtbs-go4Q,Why Do Female Hyenas Have Pseudo-Penises?!,MinuteEarth,28,test_tag,218853,9184,164,896
13,-FMGfnYJ1hE,Syracuse Football: Dino Babers Post Game NC State,Syracuse Orange sports on syracuse.com,17,test_tag,9235,4,6,0
14,-Ifnaxi2LQg,Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,10,test_tag,15405891,630026,46060,44733
15,-Jdc7FXupWQ,Gwen Stefani - Santa Baby (Audio),GwenStefaniVEVO,10,test_tag,170923,10585,228,1219
16,-JmNKGfFj7w,Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet,E! Live from the Red Carpet,24,test_tag,8444914,55549,2173,17278
17,-LoSw4o2zDQ,How to Make Pusheen Brownie Pops! 💕,kawaiisweetworld,26,test_tag,165898,13087,80,1348
18,-PQBaYuvujw,100 People Tell Us the Worst Thing They've Ever Done,WatchCut Video,24,test_tag,1451822,37173,908,5268
19,-QL9dvmddYs,Ollie's Baby is BORN!! (And MARK STRONG NAMED HER!!!),JOLLY,23,test_tag,2902921,147751,793,20563
20,-SiRV2kWIxg,Madison Beer Plays RAW's This Or That,RAW,22,test_tag,25137,917,32,44
21,-UAdFerZMWc,"Watch Us Build a 7,500 Piece Lego Millennium Falcon | WIRED",WIRED,24,test_tag,62692,2449,79,299
22,-_CmfnzbLFc,"Idris Elba Talks Childhood, Playing American Roles, And 'The Mountain Between Us' | The View",The View,24,test_tag,342466,4634,95,1368
23,-_Q5kO4YXFs,My baby hears me for the first time and is almost moved to tears!,Christy Keane,22,test_tag,8224776,29388,771,1706
24,-bQUBzPZHHQ,Introducing Oculus Go,Oculus,20,test_tag,1438321,9948,2323,4217
25,-cYk6sbe11c,Hurricane Irma Makes Landfall in Florida Keys as Powerful Category 4 | TODAY,TODAY,25,test_tag,659366,2316,378,873
26,-cjfTG8DbwA,Why Public Transportation Sucks in the US,Wendover Productions,27,test_tag,2375089,92626,4100,19342
27,-jFgNreZPf0,ASKING ALEXANDRIA - Into The Fire (Official Music Video),SumerianRecords,10,test_tag,5717990,374248,10907,42837
28,-otJ1LJGzcc,Explanation of where the shooting took place on Las Vegas Strip,KTNV Channel 13 Las Vegas,25,test_tag,7278794,20358,3943,37281
29,-p6WWRarjNs,Open offices are overrated,Vox,25,test_tag,1337659,38768,1555,2756
30,-q47sHA4eAo,What Happens If You Drop a Nuclear Bomb Into a Hurricane?,RealLifeLore,27,test_tag,9060114,200134,10617,34774
31,-s267WkYVoo,Why We Need To Be Talking About American Tail,Cracked,23,test_tag,186264,7703,544,1421
32,-tCu0tKrzhc,Sloane Stephens jokes that $3.7 million check inspires her to keep playing | ESPN,ESPN,17,test_tag,113400,1049,20,297
33,-uYWFqTPHd0,GETTING READY WITH ME FOR FALL!,Lauren Elizabeth,23,test_tag,465095,24510,728,1109
34,-wQLKMUWANg,The Age of Giant Insects,PBS Eons,28,test_tag,294782,14070,295,1661
35,-zCYX0esYlo,"Everything You Need to Know About The Last Dab, the Hottest Sauce on Hot Ones",First We Feast,26,test_tag,1807956,51739,570,6093
36,00P112HXoK0,LeBron James stands by calling President Trump a 'bum',NBA Highlights · YouTube,17,test_tag,29886,327,227,518
37,00wQYmvfhn4,Corporate Consolidation: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,test_tag,9092191,220802,4736,16646
38,03IUgOd4GH4,73 Questions with Helga | Vogue Parody,Liza Koshy,23,test_tag,26451153,1906087,28662,98594
39,03jeumSTSzc,Reading More Fables (I swear I'm not a furry),TheOdd1sOut,23,test_tag,16227401,942178,14307,201833
40,04UjShXZbD0,Melanie Martinez - Mad Hatter [Official Video],melanie martinez,10,test_tag,13562148,1823743,24475,261829
41,0501BTnbrxg,NF - Let You Down (Audio),NFVEVO,10,test_tag,4035737,287126,2067,33489
42,05v4nfUmBYI,WALK THE MOON - One Foot (Official Video),WalkTheMoonVEVO,10,test_tag,1026130,55684,1349,5272
43,07bHQFWCKIw,Harvey Weinstein Is A Bad Person,The Late Show with Stephen Colbert,24,test_tag,856821,10023,1730,2952
44,07v6qA2l3n4,All Night Long at The Airport,Mahshid Mazooji,22,test_tag,2346808,25200,854,2160
45,08RHSZvixec,BLIND TASTE TEST // Grace Helbig,Grace Helbig,22,test_tag,469898,30219,178,3068
46,09xOyqOO1Eg,How to Eat a Crab Like a Pro | Food Skills,First We Feast,26,test_tag,433644,12690,255,1617
47,0AaApxaD170,WHITE WALKER GAME OF THRONES  -  HALLOWEEN MAKEUP TUTORIAL,Glam&Gore,22,test_tag,815305,71487,438,4510
48,0Dm0MBlnhm4,Butch Jones Press Conference (9.18.17),utsportstv,17,test_tag,45152,145,390,0
49,0H3MirHyX2w,Sperm Donor Meets His 19 Children All Together,Inside Edition,25,test_tag,2029675,19560,836,3269
50,0I3VUxiyaSE,"Gwyneth Paltrow and Dave on Harvey Weinstein, Late Show, November 25, 1998",Don Giller,27,test_tag,2403338,4786,465,0
51,0PKthlZtLDo,John Oliver - Puerto Rico and Hospitalized Senator,consumer,23,test_tag,2358759,25124,3941,3588
52,0Pz7DnHikLU,4 Iconic Halloween Costumes for 2017,Tyler Oakley,24,test_tag,658791,61508,495,6729
53,0R7MQwmbiQc,My Childhood Stories,Jaiden Animations,1,test_tag,8068782,565425,2324,108973
54,0Rb2rr1vWpI,Lecrae - Whatchu Mean (Audio) ft. Aha Gazelle,LecraeVEVO,10,test_tag,183644,10720,288,2097
55,0TMHdsFYDOo,Jane Fonda 'ashamed' she didn't call out W...,CNNMoney,25,test_tag,536899,2567,2061,4577
56,0TP1zVBdosw,"The Shield reunite: Raw, Oct. 9, 2017",WWE,17,test_tag,37970602,951845,20255,132274
57,0VfGA5bE1AQ,COOKING TINY FOOD WHILE CONJOINED CHALLENGE!!,Liza Koshy Too,23,test_tag,7936395,680765,3337,18609
58,0YGoxbeSzLc,October 4th - Google Event,Made by Google,28,test_tag,13102752,0,0,0
59,0Yhaei1S5oQ,Japan's Ominous Dancing Cats and the Disaster That Followed,SciShow,27,test_tag,602905,22120,299,1581
60,0afzkLHTUK8,Netflix Is A Joke | Emmys 2017 | Netflix,Netflix,24,test_tag,1898598,30217,1655,2482
61,0bcHEsmmpzU,HOT DOG INSIDE A BURGER - VERSUS,HellthyJunkFood,24,test_tag,3309937,71543,6063,16109
62,0ceNfXrccbQ,30 Rock - Jenna Turned Down Harvey Weinstein,30 Rock Official,24,test_tag,1613580,4525,146,814
63,0d6eJcWYqBc,Danielle Bradbery - Hello Summer (Instant Grat Video),DanielleBradberyVEVO,10,test_tag,48507,2464,16,151
64,0dWj2k4FMM8,Nature’s Wonderland | A Mickey Mouse Cartoon | Disney Shorts,Mickey Mouse,1,test_tag,3345145,44532,2862,7480
65,0dnd2j_is1U,Is Bella Hadid Dating Drake? | WWHL,Watch What Happens Live with Andy Cohen,24,test_tag,56979,233,24,65
66,0eKdNcP4xrM,"SOY PABLO Extended Trailer  -- A Bad Lip Reading of Narcos, a Netflix Original Series",Bad Lip Reading,23,test_tag,6413374,271197,5035,17661
67,0fsKoK9yLE0,Crowder - Prove It ft. KB,CrowderVEVO,10,test_tag,336671,13449,202,833
68,0g2lXo-ZnEk,TRYING $5 HALLOWEEN MAKEUP ft Miranda Sings!,Rosanna Pansino,26,test_tag,4838099,135988,6047,16413
69,0hLx_1Q15eY,Where Do Our Drugs Come From?,MinuteEarth,28,test_tag,1621486,59197,1146,2282
70,0lDRz8qmXpE,"Standing Up For Yourself as a Woman, But Not Too Much",CollegeHumor,23,test_tag,1133375,64063,5829,7980
71,0ptNpGfMRCg,Gold iPhone 8 Plus Unboxing & First Impressions!,EverythingApplePro,24,test_tag,11167815,281272,11809,42808
72,0pwttmAYCTw,Kygo - This Town ft. Sasha Sloan,KygoOfficialVEVO,10,test_tag,2941133,155543,1484,4942
73,0qfgZJNCCJQ,Everytime The Beat Drops With The Chainsmokers | Ranz and Niana,Ranz Kyle,22,test_tag,1377349,101059,1015,8913
74,0s8oYNL1M-A,Goodnight Moon as read by LeVar Burton to Neil deGrasse Tyson,StarTalk Radio,28,test_tag,288750,10008,165,1147
75,0tOUQt5fem0,First Tuned Run of Terry Mayhugh's Quarter Scale V12 Merlin,mayhugh1,2,test_tag,15084,100,0,15
76,0uUFf8IomLg,Metro Manners PSA: Super Kind - Aisle Blocking ブロキング,Metro Los Angeles,19,test_tag,54303,666,17,59
77,1-mNxzvJSaQ,Jess Hilarious EXPOSES Hazel-E & Rose Burgundy (Full Video!),ChangeFor TheBetter2!,24,test_tag,113512,1753,86,364
78,11S5tcT2Tm0,Lindsey Stirling - Mirage,Lindsey Stirling,24,test_tag,7578897,567607,9241,33329
79,12vfxYs6F7E,This Week I Learned to Blacksmith with Alec Steele,Mike Boyd,24,test_tag,1500829,71131,545,8539
80,15ugV2ASveg,Camila Cabello - Havana Acoustic | Elvis Duran Live,Elvis Duran Show,24,test_tag,1472477,118059,1047,6334
81,16-xMnzDQ4M,27 Things I've Learned In 27 Years (Sister Sister Parody),Evelyn From The Internets,23,test_tag,31797,5791,14,738
82,18HD7Y3tT9o,"DEEP Chinese Street Food Tour in Sichuan, China | BEST BRAIN + RABBIT (Spicy ADVENTURE)",The Food Ranger,19,test_tag,1783611,49758,1316,9295
83,1AxLzMJIgxM,Essential Kitchen Tools | Basics with Babish,Binging with Babish,24,test_tag,4199419,267595,3114,20432
84,1KCZHHMZVGQ,Adam Ruins Everything - Why Toxins Are a Myth (Tease) | truTV,truTV,24,test_tag,1080087,17363,1042,2404
85,1L7JFN7tQLs,iPhone X Hands on - Everything you need to know,Jonathan Morrison,28,test_tag,4961383,142040,5573,27486
